id_ingrediente,ingrediente
1157,pimentas malagueta
1158,essencia
1159,creme leite chantilly
1160,linguica paio
1161,crouton
1162,fuba fino
1163,manteiga garrafa
1164,creme ricota
1165,vinagre arroz
1166,saque
1167,pimenta verde
1168,postas cacao
1169,farinha coco
1170,cheiro verde coentro
1171,ovo empanar
1172,cheddar
1173,melhor
1174,alho po
1175,cream cheese philadelphia
1176,berinjela cortada
1177,queijo parmesao fino
1178,caldo limoe
1179,papel
1180,molho mostarda
1181,bolachas maria
1182,pimenta branca moida
1183,cafe pronto
1184,bis preto
1185,condimento
1186,caldo legumes po
1187,cremoovo
1188,macos coentro
1189,hortela decorar
1190,caldos knorr
1191,calda pessego
1192,pasta alho
1193,bisnaga catupiry
1194,farinha trigo baste
1195,peito frango moido
1196,oleo pra fritar
1197,farinha pao
1198,azeite oleo soja
1199,abobrinha cortada
1200,pao sanduiche
1201,leite condensado diet
1202,pimentao vermelho fina
1203,coco umido
1204,camarao cinza
1205,farinha amendoa
1206,manga cortada
1207,sazon laranja
1208,farinha branca
1209,marisco
1210,alho batido
1211,coentro po
1212,queijo lanche
1213,azeitonas verdes fatiada
1214,sardinha atum
1215,po pudim baunilha
1216,garrafa cerveja preta
1217,suco limao coado
1218,macarrao pene
1219,quinoa
1220,salsinha cebolinha verde
1221,gelatina po limao
1222,cravo canela pau
1223,queijo ricota
1224,sobremesa alho
1225,molho vermelho
1226,aipo
1227,caldo galinha knorr
1228,kani kama
1229,ameixa seca caroco
1230,leite condensado light
1231,brocolis ninja
1232,polentina
1233,creme vegetal becel
1234,mesma leite comum
1235,outro
1236,ervilha milho verde
1237,essencia amendoa
1238,temperinho verde
1239,sobremesa azeite
1240,amendoim moido
1241,caldo carne po
1242,fraldinha
1243,macas fatiada
1244,paes hamburguer
1245,peito
1246,cafe bicarbonato sodio
1247,castanha caju triturada
1248,carne cortada
1249,fibra trigo
1250,chantilly pronto
1251,biscoito cream cracker
1252,oregano manjericao
1253,chocolate granulado enfeitar
1254,granulado chocolate
1255,ovo farinha rosca empanar
1256,cebolas cabeca
1257,queijo gratinar
1258,parmesao polvilhar
1259,carambola
1260,licor menta
1261,peito peru fatiado
1262,moela
1263,goiabas vermelha
1264,queijo parmesao gratinar
1265,leite condensado leite
1266,grao
1267,refrigerante limao
1268,granulado colorido
1269,requeijao cheddar
1270,sobremesa baunilha
1271,farinha trigo comum
1272,arroz risoto
1273,massa penne
1274,manteiga mococa
1275,sazon massa
1276,curcuma
1277,medidas acucar
1278,milho canjica
1279,medidas agua
1280,camarao rosa
1281,damasco seco
1282,oleo manteiga
1283,azeite manteiga
1284,licor laranja
1285,queijo minas frescal
1286,tomates pele
1287,farinha peneirada
1288,batata baroa
1289,creme leite batido chantilly
1290,canjica
1291,pimenta calabresa seca
1292,nabo
1293,queijo minas padrao
1294,cogumelos conserva
1295,canela acucar
1296,pacoquinha
1297,canelas pau
1298,requeijao cremoso catupiry
1299,acem moido
1300,doce goiaba
1301,mistura limao
1302,uvas passas caroco
1303,arroz cru lavado
1304,laranja pera
1305,brocolis japone
1306,caldo knnor
1307,oleo baste
1308,cenouras ralo
1309,atum sardinha
1310,camarao barba
1311,postas salmao
1312,margarina qualidade
1313,fatiado
1314,fermento seco pao
1315,vinagre tinto
1316,feijao corda
1317,vinagre alcool
1318,azeitona preta caroco
1319,ricota passada peneira
1320,coxa coxa
1321,mandioca cortada
1322,gomos calabresa
1323,amido milho maizena
1324,sonhos valsa
1325,meia cebola
1326,folhinhas manjericao
1327,vinagre vinho
1328,rapadura
1329,rabanete
1330,meia leite condensado
1331,frango assado
1332,azeitonas decorar
1333,massa pizza
1334,gotas adocante
1335,batatas agua
1336,coxao duro
1337,biscoito maizena chocolate
1338,abobrinha verde
1339,pudim
1340,sobremesa farinha trigo
1341,jabuticaba
1342,caseiro
1343,manteiga fritar
1344,peru
1345,pasta amendoim
1346,farinha soja
1347,files tilapia
1348,coca cola
1349,pimenta biquinho
1350,polvilhar
1351,bolas sorvete chocolate
1352,presunto fina
1353,batatas lavada
1354,essencia panetone
1355,tahine
1356,gelatina framboesa
1357,repolho fina
1358,ovo batido pincelar
1359,proteina soja texturizada
1360,uvas verde
1361,melado
1362,cupim
1363,mateiga
1364,chocolate preto
1365,cebolinhas verde
1366,oleo soja azeite
1367,mesma
1368,shimeji
1369,pao sirio
1370,sazon ave
1371,acucar cristal polvilhar
1372,castanha caju moida
1373,flocao
1374,arisco
1375,canjiquinha
1376,mussarela light
1377,bolacha maria maizena
1378,amarelo
1379,biscoito agua
1380,nozes castanha
1381,acerola
1382,abacaxi miolo
1383,acucar impalpavel
1384,hondashi
1385,gomos linguica
1386,recheio frango
1387,leite baste
1388,espremida
1389,calice vinho branco seco
1390,alhos poro
1391,nesquik
1392,proteina texturizada soja
1393,chicoria
1394,pe alface americana
1395,cebolas cortada
1396,geleia damasco
1397,mistura
1398,tang morango
1399,flan baunilha
1400,salada
1401,bacalhau desalgado
1402,abacaxi perola
1403,molho bechamel
1404,caldo cozimento frango
1405,tofu
1406,bananas fatiada
1407,azeite vontade
1408,cebola cortada petala
1410,suco uva concentrado
1411,repolho fino
1412,dorito
1413,estragao
1414,cebola batida
1415,bolacha agua
1416,maxixe
1417,manteiga margarina temperatura ambiente
1418,coalhada
1419,coracao frango
1420,queijo canastra
1421,paezinho
1422,repolho branco
1423,macas fina
1424,meia fermento
1425,dagua
1426,osso
1427,salsa decorar
1428,leite condencado
1429,vodca
1430,macarrao yakissoba
1431,tainha
1432,dedos oleo
1433,fermento instantaneo
1434,ameixas secas caroco
1435,sobremesa colorau
1436,file linguado
1437,lavada
1438,margarina cremosa
1439,hamburguer
1440,azeite oregano
1441,raspas limao siciliano
1442,farinha trigo enfarinhar
1443,molho tomate manjericao
1444,essencia morango
1445,cenoura cortada fina
1446,pimenta rosa
1447,pimenta preta moida
1448,peito frango file
1449,kani
1450,tangerina
1451,morangos enfeitar
1452,creme arroz
1453,farinha trigo soltar
1454,cebola cortadinha
1455,salaminho
1456,amarelo vermelho
1457,atum agua
1458,oleo nao
1459,ovo fatiado
1460,precisar
1461,batata bolinha
1462,queijo minas meia cura
1463,neston
1464,caldo carne knorr
1465,oregano pimenta
1466,caldo knorr bacon
1467,marshmallow
1468,batatas crua
1469,shitake
1470,branca moida
1471,queijo parmesao mussarela
1472,bacalhau lasca
1473,barras chocolate branco
1474,tomate vermelho
1475,acafrao terra
1476,taca vinho branco seco
1477,farinha milho flocada
1478,cerveja ovo
1479,farinha polvilhar
1480,amendoim triturado
1481,farinha trigo liga
1482,pimentao verde fina
1483,goiabada cascao
1484,fatia abacaxi
1485,whisky
1486,mamao verde
1487,suco limao taiti
1488,azeite margarina
1489,talos cebolinha
1490,gergelim torrado
1491,tilapia
1492,molho cheiro verde
1493,mussarela parmesao
1494,alcatra cortada
1495,caldo carne esfarelado
1496,cafe leite
1497,concha oleo
1498,alho fina
1499,condensado
1500,catupiry requeijao
1501,garrafa guarana
1502,punhado salsinha
1503,caldos legume
1504,frango limpo
1505,mesma leite condensado leite
1506,pimentao fina
1507,pimenta po
1508,bola sorvete creme
1509,agua dissolver gelatina
1510,caldo carne dissolvido agua
1511,fecula mandioca
1512,caldo carne frango
1513,manteiga light
1514,cebola fininha
1515,chocolate granulado polvilhar
1516,doce leite pasta
1517,polpa acai
1518,mostarda escura
1519,maionese limao
1520,linguica frango
1521,corante vermelho
1522,carne charque
1523,coentro cheiro verde
1524,creme vegetal
1525,margarinha
1526,maizena leite
1527,taca vinho branco
1528,caldo knorr legume
